source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url,season,validity_start,validity_end,vertical,peak_or_mid,check_in_date,check_out_date,staging_items,available_spots,booking_available,booking_provider
spiagge,spiagge_10030,Lido Cesare,https://www.spiagge.it/stabilimenti-balneari/10030-lido-cesare/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_1B_1D | available_spots: 43 | bookable via spiagge.it,"€84,00",84.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10030-lido-cesare/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_1B_1D,43,true,spiagge.it
spiagge,spiagge_10031,Bagni Capo Mele,https://www.spiagge.it/stabilimenti-balneari/10031-bagni-capo-mele/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B | available_spots: 20 | bookable via spiagge.it,"€210,00",210.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10031-bagni-capo-mele/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B,20,true,spiagge.it
spiagge,spiagge_10031,Bagni Capo Mele,https://www.spiagge.it/stabilimenti-balneari/10031-bagni-capo-mele/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B | available_spots: 20 | bookable via spiagge.it,"€280,00",280.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10031-bagni-capo-mele/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B,20,true,spiagge.it
spiagge,spiagge_10036,Baia Del Rogiolo,https://www.spiagge.it/stabilimenti-balneari/10036-baia-del-rogiolo/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_1B_1D | available_spots: 45 | bookable via spiagge.it,"€202,00",202.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10036-baia-del-rogiolo/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_1B_1D,45,true,spiagge.it
spiagge,spiagge_10036,Baia Del Rogiolo,https://www.spiagge.it/stabilimenti-balneari/10036-baia-del-rogiolo/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_1B_1D | available_spots: 50 | bookable via spiagge.it,"€299,00",299.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10036-baia-del-rogiolo/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_1B_1D,50,true,spiagge.it
spiagge,spiagge_10049,Lido Azzurro,https://www.spiagge.it/stabilimenti-balneari/10049-lido-azzurro/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B | available_spots: 135 | bookable via spiagge.it,"€105,00",105.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10049-lido-azzurro/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B,135,true,spiagge.it
spiagge,spiagge_10049,Lido Azzurro,https://www.spiagge.it/stabilimenti-balneari/10049-lido-azzurro/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2B | available_spots: 90 | bookable via spiagge.it,"€147,00",147.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10049-lido-azzurro/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2B,90,true,spiagge.it
spiagge,spiagge_10054,Beach 33,https://www.spiagge.it/stabilimenti-balneari/10054-beach-33/,PACCHETTO BASE,Pacchetto base – Settimana 1-7 agosto 2026 (peak),Configurazione: 2B | available_spots: 90 | bookable via spiagge.it,"€84,00",84.0,EUR,per_week,beach_service,,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10054-beach-33/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,2B,90,true,spiagge.it
spiagge,spiagge_10057,Spiaggia Airone & Spiaggia di Snoopy,https://www.spiagge.it/stabilimenti-balneari/10057-spiaggia-airone/,PACCHETTO BASE,Ombrellone + 2 lettini – Settimana 15-21 giugno 2026 (mid),Configurazione: 1U_2B | available_spots: 201 | bookable via spiagge.it,"€105,00",105.0,EUR,per_week,beach_service,beach_set_2lettini_ombrellone,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10057-spiaggia-airone/?from=2026-06-15&to=2026-06-21,summer_2026,2026-05-01,2026-09-30,beach,mid_jun,2026-06-15,2026-06-21,1U_2B,201,true,spiagge.it
spiagge,spiagge_10074,Bagno Imperiale,https://www.spiagge.it/stabilimenti-balneari/10074-bagno-imperiale/,PACCHETTO BASE,Ombrellone – Settimana 1-7 agosto 2026 (peak),Configurazione: 1U_2D | available_spots: 26 | bookable via spiagge.it,"€146,00",146.0,EUR,per_week,beach_service,beach_umbrella_standard,high,,2026-06-01T19:31:31Z,https://www.spiagge.it/stabilimenti-balneari/10074-bagno-imperiale/?from=2026-08-01&to=2026-08-07,summer_2026,2026-05-01,2026-09-30,beach,peak_aug,2026-08-01,2026-08-07,1U_2D,26,true,spiagge.it
