source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,opening_hours,retrieved_at
thefork,838260,DaV by Da Vittorio Louis Vuitton,https://www.thefork.it/ristorante/dav-by-da-vittorio-louis-vuitton-r838260,"Via Bagutta, 1, 20121, Milano",Milano,45.467354,9.196889,Piatti vegetariani,€€€€,9.4,,,,2026-06-02T09:32:35Z
thefork,822961,Dica Milano,https://www.thefork.it/ristorante/dica-milano-r822961,"Via Francesco Ferrucci, 1, 20145, Milano",Milano,45.479361,9.164461,"Piatti vegetariani, Pizzeria, Europeo, Italiano",€€,9.1,,,,2026-06-02T09:32:35Z
thefork,542939,Panigacci Milano Bistrot,https://www.thefork.it/ristorante/panigacci-milano-bistrot-r542939,"Via Bezzecca, 2, 20135, Milano",Milano,45.460888,9.209605,"Opzioni senza glutine, Piatti vegani, Piatti vegetariani, Italiano, Mediterraneo, Vegetariano, Europeo",€€€,9.7,,,,2026-06-02T09:32:35Z
thefork,857401,Ça va sans dire - Creperia ,https://www.thefork.it/ristorante/ca-va-sans-dire-creperia-r857401,"Via Garigliano, 8, 20159, Milano",Milano,45.488149,9.189900,"Opzioni senza glutine, Piatti biologici, Piatti vegani, Piatti vegetariani, Creperia, Francese, Italiano, Europeo",€€,9.2,,,,2026-06-02T09:32:35Z
thefork,835299,Jeonju Bibimbap,https://www.thefork.it/ristorante/jeonju-bibimbap-r835299,"Viale Lunigiana, 10a, 20125, Milano",Milano,45.491711,9.205291,"Piatti vegetariani, Coreano, Asiatico",€,9.1,,,,2026-06-02T09:32:35Z
thefork,713379,JD - Sapore della Cina,https://www.thefork.it/ristorante/jd-sapore-della-cina-r713379,"Via Parmigianino, 11, 20148, Milano",Milano,45.467084,9.147364,"Cinese, Asiatico",€€,9.3,,,,2026-06-02T09:32:35Z
thefork,686917,Da Mario Steak House,https://www.thefork.it/ristorante/da-mario-steak-house-r686917,"Via Mosè Bianchi, 103, 20149, Milano",Milano,45.476159,9.144080,Di Carne,€€,9.1,,,,2026-06-02T09:32:35Z
thefork,663159,Mi Tao,https://www.thefork.it/ristorante/mi-tao-r663159,"Viale Molise, 54, 20137, Milano",Milano,45.454262,9.224347,"Piatti vegetariani, Cinese, Asiatico",€,8.3,,,,2026-06-02T09:32:35Z
thefork,455097,Le delizie,https://www.thefork.it/ristorante/le-delizie-r455097,"Via Ernesto Breda, 48, 20126, Milano",Milano,45.511455,9.215487,"Piatti vegetariani, Mediterraneo",€€,8.3,,,,2026-06-02T09:32:35Z
thefork,391243,Mappamondo Royal,https://www.thefork.it/ristorante/mappamondo-royal-r391243,"Viale Coni Zugna, 9, 20144, Milano",Milano,45.459873,9.165451,"Italiano, Europeo",€€,9.1,,,,2026-06-02T09:32:35Z
