source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,categories,price_tier,rating,rating_count,phone,website,opening_hours,has_menu,menu_url,extraction_status,retrieved_at,venue_type,target_classification,has_price,geocoding_confidence,all_names,nil_quartiere,name_source,source_provenance,opening_hours_source
osm,3056337707,Zambardino,,Napoli,Napoli,40.847169,14.259819,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Zambardino,,osm_overpass,osm,typical_by_type
osm,7169855291,Zambardino,,Napoli,Napoli,40.845909,14.262780,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Zambardino,,osm_overpass,osm,typical_by_type
osm,8933411717,Zambardino,,Napoli,Napoli,40.850242,14.260340,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Zambardino,,osm_overpass,osm,typical_by_type
osm,12531312801,Zazzu,,Napoli,Napoli,40.848381,14.248331,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Zazzu,,osm_overpass,osm,typical_by_type
osm,13302044272,Zero - Healthy Bar Speciality Coffee,,"Via Giuseppe Verdi 8, 80138, Napoli",Napoli,40.838635,14.250333,,,,,+393762799489,https://www.zerohealthy.it/,Su-Fr 08:00-22:30; Sa 08:00-23:30,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Zero - Healthy Bar Speciality Coffee,,osm_overpass,osm,osm
osm,9949480850,Zest,,Napoli,Napoli,40.846152,14.231566,,,,,,,Mo-Su 07:00-20:00,False,,no_price,2026-06-02T10:09:42Z,cafe,TARGET,False,existing,Zest,,osm_overpass,osm,typical_by_type
osm,9379363973,Arenile di Bagnoli,,Napoli,Napoli,40.812914,14.165976,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Arenile di Bagnoli,,osm_overpass,osm,typical_by_type
osm,7082440682,Bar fly,,Napoli,Napoli,40.824233,14.219862,,,,,,https://barflynapoli.it/,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Bar fly,,osm_overpass,osm,typical_by_type
osm,7177239922,Boudoir,,Napoli,Napoli,40.849146,14.254646,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Boudoir,,osm_overpass,osm,typical_by_type
osm,415078446,Brusco Wine & Audio Room,,"Via Napoli 161, 163, 80078, Pozzuoli",Napoli,40.817982,14.155223,,,,,,,Mo-Su 18:00-02:00,False,,no_price,2026-06-02T10:09:42Z,cocktail_bar,TARGET,False,existing,Brusco Wine & Audio Room,,osm_overpass,osm,typical_by_type
