canonical_name,all_variants,geo_key,source_provenance,cluster_size,target_classification
Coll,Coll,"45.4621,9.2061",comune_milano|osm,4,TARGET
TAMO,TAMO,"45.4588,9.1917",comune_milano,4,NO_TARGET
Bar tabacchi Arena,Bar tabacchi Arena,"45.4550,9.1788",comune|comune_milano|osm,4,AMBIGUOUS
Backi Bar Caffetteria,Backi Bar Caffetteria,"45.4879,9.1626",comune_milano|osm,4,TARGET
Emy bar,Emy bar,"45.4982,9.1844",comune_milano|osm,4,AMBIGUOUS
Bar tabacchi ricos,Bar tabacchi ricos,"45.4914,9.1479",comune|comune_milano|osm,4,AMBIGUOUS
Il Carpaccio,Il Carpaccio,"45.4777,9.2034",comune_milano,4,NO_TARGET
SCIUÉ Navigli,Sciuè | SCIUÉ Navigli,"45.4516,9.1777",comune_milano|thefork,4,NO_TARGET
Uzbek,Uzbek,"45.4900,9.1834",comune_milano,4,NO_TARGET
Mont Real Cafè,Mont Real Cafè,"45.4522,9.1789",comune_milano|osm,4,TARGET
Spontini,Spontini,"45.4632,9.1888",comune_milano,4,NO_TARGET
San Cafe,San Cafe,"45.4863,9.2185",comune_milano|osm,4,TARGET
Bar Tabacchi SI & GA di Lupini Graziella,Bar Tabacchi SI & GA di Lupini Graziella,"45.4490,9.1771",comune_milano|osm,4,TARGET
Bar Chicco,Bar Chicco,"45.4435,9.1391",comune_milano|osm,4,TARGET
Bamboobar,Bamboobar | Armani/Bamboo Bar at Armani Hotel Milano - 7° Piano,"45.4706,9.1930",comune|comune_milano|osm|thefork,4,AMBIGUOUS
Crema & Cioccolato,Crema & Cioccolato,"45.4541,9.2179",comune_milano|osm,4,TARGET
Bar Stella,Bar Stella,"45.4881,9.1577",comune_milano|osm,4,TARGET
Dispensa Emilia,Dispensa Emilia,"45.4860,9.2061",comune_milano,4,NO_TARGET
Panino Lab Isola,Panino Lab Isola,"45.4872,9.1869",comune_milano,4,NO_TARGET
Café restaurant,Café restaurant,"45.4965,9.1759",comune_milano|osm,4,TARGET
Jumbo Cafè,Jumbo Cafè,"45.4517,9.1520",comune|comune_milano|osm,4,TARGET
Bar Turati,Bar Turati,"45.4739,9.1950",comune_milano|osm,4,TARGET
Cafè Madeira,Cafè Madeira,"45.4531,9.2028",comune|comune_milano|osm,4,TARGET
Lab Milano,Lab Milano,"45.4640,9.2070",comune|comune_milano|osm,4,TARGET
Romeo Milano,Romeo | Romeo Milano,"45.4803,9.1710",comune_milano|thefork,4,NO_TARGET
Bar Giardinetto,Bar Giardinetto,"45.4997,9.2118",comune_milano|osm,4,TARGET
Why Not,Why Not,"45.5169,9.2092",comune|comune_milano|osm,4,AMBIGUOUS
Jubin,Jubin,"45.4605,9.1903",comune_milano,4,NO_TARGET
Bar dei Sogni,Bar dei Sogni,"45.4779,9.2233",comune_milano|osm,4,AMBIGUOUS
Pizzeria Little Italy Tadino,Little Italy | Pizzeria Little Italy Tadino,"45.4808,9.2091",comune_milano|thefork,4,NO_TARGET
Caffè Petrarca,Caffè Petrarca,"45.4852,9.1991",comune_milano|osm,4,TARGET
Canaglia,Canaglia,"45.4441,9.2141",comune_milano,4,NO_TARGET
Da Giacomo,Da Giacomo,"45.4654,9.2085",comune_milano|thefork,4,NO_TARGET
Cusani Caffè,Cusani Caffè,"45.4687,9.1840",comune_milano|osm,4,AMBIGUOUS
Cool Morning,Cool Morning,"45.4433,9.1789",comune|comune_milano|osm,4,TARGET
Re Bolla,Re Bolla,"45.4645,9.2279",comune|comune_milano|osm,4,TARGET
Casa Giuditta,Casa Giuditta | Casa Giudittq,"45.4694,9.2220",comune|comune_milano|osm|thefork,4,TARGET
Colibrì,Colibrì,"45.4616,9.1956",comune|comune_milano|osm,4,TARGET
Silvano Vini e Cibi Al Banco,Silvano | Silvano Vini e Cibi Al Banco,"45.4929,9.2166",comune_milano|thefork,4,NO_TARGET
Tarantè,Tarantè | Gastronomia Bar Enoteca Tarantè Napoli,"45.4740,9.2093",comune_milano|osm|thefork,4,TARGET
Tutti Fritti,Tutti Fritti,"45.4587,9.1810",comune|comune_milano|osm,4,TARGET
Cartoon's Pub,Cartoon's Pub,"45.4848,9.1572",comune|comune_milano|osm,4,AMBIGUOUS
Raboucer,Raboucer,"45.4589,9.1803",comune|comune_milano|osm,4,TARGET
Fantastico Bar,Fantastico Bar,"45.4928,9.2159",comune|comune_milano|osm,4,AMBIGUOUS
Gusto Misto,Gusto Misto,"45.4871,9.1976",comune|comune_milano|osm,4,AMBIGUOUS
Bab-Al Yemen,Bab-Al Yemen,"45.4868,9.2017",comune|comune_milano|osm,4,AMBIGUOUS
Barcollando,Barcollando | Barcollando Café,"45.4602,9.1769",comune_milano|osm|thefork,4,TARGET
Fresca Pasta Club,Fresca | Fresca Pasta Club,"45.4727,9.2063",comune_milano|thefork,4,NO_TARGET
Barghilè,Barghilè,"45.4979,9.2081",comune|comune_milano|osm,4,TARGET
Officina Milano,Officina Milano,"45.4498,9.1845",comune|comune_milano|osm|thefork,4,TARGET
Illy Caffè,Illy Caffè | Illy Caffè Monte Napoleone,"45.4686,9.1945",comune_milano|osm|thefork,4,AMBIGUOUS
Les Rouges,Les Rouges,"45.4534,9.2090",comune|comune_milano|osm,4,AMBIGUOUS
MEZCA,MEZCA,"45.4773,9.1699",comune|comune_milano|osm,4,TARGET
Albatros,Albatros,"45.4859,9.2299",comune|comune_milano|osm,4,TARGET
SunEleven Rooftop,SunEleven Rooftop,"45.4645,9.1952",comune|comune_milano|osm,4,TARGET
Machan Pub,Machan Pub | Machanpub,"45.4453,9.2131",comune|comune_milano|osm|thefork,4,TARGET
Bowls,Bowls,"45.4611,9.1897",comune|comune_milano|osm,4,TARGET
FRED,FRED,"45.4862,9.2318",comune|comune_milano|osm,4,TARGET
Coa cocktail bar,Coa cocktail bar,"45.4759,9.2032",comune|comune_milano|osm,4,TARGET
