source_platform,venue_name,venue_url,address,city,latitude,longitude,phone,brand,price_hints,retrieved_at
anytimefitness,"Anytime Fitness - Palestra a Milano (Rubattino), MI 20134",https://www.anytimefitness.it/palestra/it-0060/milano-mi-20134/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:52.007161Z
anytimefitness,"Anytime Fitness - Palestra a Brescia, BS 25124",https://www.anytimefitness.it/palestra/it-0061/brescia-bs-25124/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:53.738674Z
anytimefitness,"Anytime Fitness - Palestra a Roma (Montaione), RM 00139",https://www.anytimefitness.it/palestra/it-0062/roma-rm-00139/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:55.497398Z
anytimefitness,"Anytime Fitness - Palestra a Cagliari, CA 09134",https://www.anytimefitness.it/palestra/it-0064/cagliari-ca-09134/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:58.061628Z
anytimefitness,"Anytime Fitness - Palestra a Roma (Giolitti), RM 00185",https://www.anytimefitness.it/palestra/it-0065/roma-rm-00185/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:11:59.799406Z
anytimefitness,"Anytime Fitness - Palestra a Tivoli, RM 00019",https://www.anytimefitness.it/palestra/it-0066/tivoli-rm-00019/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:02.258128Z
anytimefitness,"Anytime Fitness - Palestra a Torino (Lingotto), TO 10126",https://www.anytimefitness.it/palestra/it-0067/torino-to-10126/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:03.992520Z
anytimefitness,"Anytime Fitness - Palestra a Verona (Santa Lucia), VR 37136",https://www.anytimefitness.it/palestra/it-0069/verona-vr-37136/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:05.726923Z
anytimefitness,"Anytime Fitness - Palestra a Roma (Gregorio VII), RM 00165",https://www.anytimefitness.it/palestra/it-0070/roma-rm-00165/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:07.441789Z
anytimefitness,"Anytime Fitness - Palestra a Roma (Montagnola), RM 00142",https://www.anytimefitness.it/palestra/it-0071/roma-rm-00142/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:10.108014Z
anytimefitness,"Anytime Fitness - Palestra a Pescara, PE 65126",https://www.anytimefitness.it/palestra/it-0072/pescara-pe-65126/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:11.862178Z
anytimefitness,"Anytime Fitness - Palestra a Roma (Regina Margherita), RM 00",https://www.anytimefitness.it/palestra/it-0073/roma-rm-00198/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:13.603201Z
anytimefitness,"Anytime Fitness - Palestra a Milano (Martesana), MI 20128",https://www.anytimefitness.it/palestra/it-0074/milano-mi-20128/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:15.335840Z
anytimefitness,"Anytime Fitness - Palestra a Benevento, BN 82100",https://www.anytimefitness.it/palestra/it-0075/benevento-bn-82100/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:17.076278Z
anytimefitness,"Anytime Fitness - Palestra a Roma (Eur), RM 00144",https://www.anytimefitness.it/palestra/it-0076/roma-rm-00144/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:18.805901Z
anytimefitness,"Anytime Fitness - Palestra a Padova, PD 35131",https://www.anytimefitness.it/palestra/it-0077/padova-pd-35131/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:20.547313Z
anytimefitness,"Anytime Fitness - Palestra a Palermo (Pacinotti), PA 90145",https://www.anytimefitness.it/palestra/it-0079/palermo-pa-90145/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:22.311265Z
anytimefitness,"Anytime Fitness - Palestra a Bologna (Centro), BO 40121",https://www.anytimefitness.it/palestra/it-0080/bologna-bo-40121/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:24.864608Z
anytimefitness,"Anytime Fitness - Palestra a Bussolengo, VR 37012",https://www.anytimefitness.it/palestra/it-0081/bussolengo-vr-37012/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:26.620342Z
anytimefitness,"Anytime Fitness - Palestra a Lissone, MB 20851",https://www.anytimefitness.it/palestra/it-0082/lissone-mb-20851/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:28.391598Z
anytimefitness,"Anytime Fitness - Palestra a Cremona, CR 26100",https://www.anytimefitness.it/palestra/it-0083/cremona-cr-26100/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:30.142730Z
anytimefitness,"Anytime Fitness - Palestra a Buccinasco, MI 20090",https://www.anytimefitness.it/palestra/it-0085/buccinasco-mi-20090/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:32.762916Z
anytimefitness,"Anytime Fitness - Palestra a Modena, MO 41124",https://www.anytimefitness.it/palestra/it-0087/modena-mo-41124/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:34.501361Z
anytimefitness,"Anytime Fitness - Palestra a Nichelino, TO 10042",https://www.anytimefitness.it/palestra/it-0088/nichelino-to-10042/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:36.221158Z
anytimefitness,"Anytime Fitness - Palestra a Pomezia, RM 00071",https://www.anytimefitness.it/palestra/it-0090/pomezia-rm-00071/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:37.940067Z
anytimefitness,"Anytime Fitness - Palestra a Terni, TR 05100",https://www.anytimefitness.it/palestra/it-0093/terni-tr-05100/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:39.671400Z
anytimefitness,"Anytime Fitness - Palestra a Roma (Casalotti), RM 00166",https://www.anytimefitness.it/palestra/it-0095/roma-rm-00166/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:41.389681Z
anytimefitness,"Anytime Fitness - Palestra a Roma (Talenti), RM 00137",https://www.anytimefitness.it/palestra/it-0096/roma-rm-00137/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:43.134348Z
anytimefitness,"Anytime Fitness - Palestra a Genova (Porto Antico), GE 16128",https://www.anytimefitness.it/palestra/it-0097/genova-ge-16128/,,,41.8719,12.5674,,Anytime Fitness,,2026-06-02T11:12:44.881523Z
