source_platform,source_venue_id,venue_name,venue_url,menu_section,item_name,item_description,raw_price,normalized_price_eur,currency,price_type,item_type,normalized_product,confidence,allergens,retrieved_at,source_url
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Acqua naturale e gasata,Bibite,"Coca cola,Fanta,Sprite,Lemon Soda,Acqua tonica,Estathè limone e Pesca","3,50 €",3.5,EUR,menu,drink,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Bibite,Succhi di frutta,"Arancia,Pompelmo,Ananas,Pesca",5 €,5.0,EUR,menu,drink,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Vini Rossi,"Rosso Piceno Doc "" Corner ""- MARCHE 14% vol.","Cantina Fontezoppa Ottenuto da uva Sangiovese e Montepulciano, si presenta con un colore Rubino Rosso Intenso e di buona consistenza. Note in apertura fruttate - partendo dalla ciliegia matura - e speziate, fino alla liquirizia. Anche il gusto è ricco di spezie, con un finale lungo e tannino morbido. Ottimo con i primi di carne e con i secondi di carne rossa.",20 €,20.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,"Rosso Piceno Doc "" Corner ""- MARCHE 14% vol.",Nebbiolo Colline Novaresi DOC - PIEMONTE - 12.5% vol.,"Torraccia del Piantavigna Colore Rosso Rubino con riflessi Violacei, profumo vinoso con sentori di fiori e frutti secchi, si abbina a salumi, antipasti e primi piatti.",24 €,24.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Nebbiolo Colline Novaresi DOC - PIEMONTE - 12.5% vol.,Lagrein - TRENTINO ALTO ADIGE - 13.0% vol.,Cantina Solander Profumo piacevolmente fruttato e intenso con una buona armonia fra frutti (more e spezie con sentori di violetta),22 €,22.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Vini Bianchi,Langhe: Chardonnay - PIEMONTE - 12.5% vol.,"Cantina tenuta Rocca Color Giallo paglierino con lievi riflessi verdognoli. Sentori di ananas si fondono con quelli più delicati del gelsomino, per chiudere con le note più acide del pompelmo.",22 €,22.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Langhe: Chardonnay - PIEMONTE - 12.5% vol.,Lugana DOP - VENETO - 12.5% vol.,"Ca' de Rocchi Vitigno di trebbiano di Lugana, colore giallo paglierino chiaro, profumo intenso di agrumi, con sentore di frutti esotici e lievi note floreali, gusto morbido e ben bilanciato dall'acidità e buona salinità. Eccellente come aperitivo.",20 €,20.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Lugana DOP - VENETO - 12.5% vol.,Sauvignon Bianco - TRENTINO - 12.5% vol.,"Cantina Solader Profumo fine, delicato e aromatico con sentori di liquirizia, pesca bianca e sambuco. Si presenta con gusto corposo e con note speziate e aromatiche",25 €,25.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Vini Spumanti,Prosecco Superiore Valdobbiadene DOCG EXTRA DRY - FRIULI VENEZIA GIULIA - 12% vol.,"Corte della Contea - Cormons (GO) Colore Giallo paglierino scarico, fermentazione in autoclave per 150 giorni, con spuma fine e persistente, gradevolmente aromatico e sapido. Profumo fresco e fruttato con sfumatura di agrumi. Vino da tutto pasto, ottimo come aperitivo.",20 €,20.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Vini Spumanti,Franciacorta Brut Bio DOCG - LOMBARDIA - 12.5% vol.,"Elisabetta Abrami - Provaglio di Iseo (BS) Uve Chardonnay 80% Pinot nero 20% colore giallo paglierino intenso con riflessi dorati, profumo ampio e delicato con sentori di lievito e vaniglia. Affinamento minimo 24 mesi.",30 €,30.0,EUR,menu,unknown,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Franciacorta Brut Bio DOCG - LOMBARDIA - 12.5% vol.,Calice di Prosecco millesimato,,6 €,6.0,EUR,menu,drink,prosecco_glass,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Dolci,Affogato al caffè,"Cremoso gelato alla Vaniglia, caffè Espresso e Cialda",5 €,5.0,EUR,menu,drink,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Affogato al caffè,Tiramisù Classico Artigianale,Con Nuvola di Panna e Granella di Nocciola,6 €,6.0,EUR,menu,drink,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,Amari / Digestivi,"Mirto,Limoncello & Amaro del Capo",,"3,50 €",3.5,EUR,menu,drink,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
menudigitale,www.menudigitale.io/smhum,Corner,https://www.menudigitale.io/smhum,"Mirto,Limoncello & Amaro del Capo",Amaro Silano,,4 €,4.0,EUR,menu,drink,,high,,2026-05-31T09:40:52Z,https://www.menudigitale.io/smhum
