source_platform,source_venue_id,venue_name,venue_url,address,city,latitude,longitude,phone,brand,venue_type,price_hints,vertical,has_menu,extraction_status,retrieved_at
osm_overpass,osm_44.77616_10.77952,Palasport Dorando Pietri,,,altro,44.7761634,10.7795245,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_42.31218_14.06419,Palestra Comunale Di Manoppello,,,altro,42.312185,14.0641924,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_40.62001_8.974,Kartodromo Zio Beppi,,,altro,40.6200128,8.9739978,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.67564_10.79068,Tennis Club Ponte a Egola,,,altro,43.6756404,10.7906761,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_40.74992_16.23105,Giuseppe Meazza,,,altro,40.749923,16.2310526,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.69387_10.62222,Nakayama,,,altro,44.6938679,10.6222154,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.66735_10.60049,Champions Club fitness - Baragalla,,,altro,44.6673547,10.600487,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.63339_11.62765,Palestra comunale,,,altro,45.6333875,11.6276456,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_46.38477_11.36714,Trialpark Aldein - Trialpark Aldino,,,altro,46.3847694,11.3671435,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.74172_10.61496,Centro sportivo di Villa Sesso,,,altro,44.741718,10.6149619,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.71461_10.58927,Il Mappamondo,,,altro,44.7146118,10.5892711,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.71731_10.61739,Centro sportivo Cesare Campioli,,,altro,44.7173073,10.6173941,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.70339_10.62352,Palestra scolastica Enrico Fermi,,"Via Giovanni Bolognesi, 42124, Reggio Emilia",Reggio Emilia,44.7033888,10.6235159,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.70966_10.64155,Palestra Pol. Galileo,,,altro,44.7096614,10.6415481,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.73578_10.6519,Health Generator Fitness ASD+UFC,,"Via Raffaello, Reggio Emilia",Reggio Emilia,44.7357815,10.6518977,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.70311_10.62431,Palestra scolastica Filippo Re ex IPSIA,,"Viale Trento Trieste, 42124, Reggio Emilia",Reggio Emilia,44.7031143,10.6243122,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.73158_10.54787,Palestra Amilcare Bedogni,,,altro,44.7315785,10.5478693,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.70921_10.62275,Palestra scolastica Liceo Aldo Moro,,"Via Venti Settembre, 42124, Reggio Emilia",Reggio Emilia,44.7092052,10.6227509,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.70924_10.62323,Let's Dance,,,altro,44.7092401,10.623226,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.70747_10.63311,Tiro a Segno,,,altro,44.7074701,10.6331058,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.72827_10.69663,Palestra di Massenzatico,,,altro,44.7282721,10.6966325,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.70836_10.63631,Palahockey Fanticini,,,altro,44.7083624,10.6363083,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.7062_10.61108,Gymnastx,,"Via Fratelli Cervi, 42124, Reggio nell'Emilia",Reggio nell'Emilia,44.7061956,10.6110776,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.70402_10.64885,Palestra,,,altro,44.7040162,10.6488458,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.70691_10.63744,Palestra Istituto Magistrale Matilde di Canossa,,"Via Avvenire Paterlini, Reggio nell'Emilia",Reggio nell'Emilia,44.7069086,10.637439,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.70493_10.6807,Bocciodromo,,,altro,44.7049296,10.6806964,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.89593_10.62989,Palazzetto dello sport Falcone Borsellino,,,altro,44.8959328,10.6298942,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.67637_10.53257,Clubhouse,,,altro,44.6763719,10.532566,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.63503_10.4742,Palestra Comunale,,,altro,44.6350306,10.4741956,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.74695_10.48798,Palestra Comunale,,,altro,44.7469474,10.4879811,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.66127_10.47289,Palestra Comunale,,,altro,44.6612696,10.4728875,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.67591_10.48457,Calypso Life Club,,"Via Montegrappa, 42021, Bibbiano",Bibbiano,44.6759147,10.4845676,,,climbing_gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.70155_9.29256,Palestra Monti,,,altro,45.7015505,9.2925558,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.43103_10.39393,Bismantova,,,altro,44.4310313,10.3939285,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.45492_10.51623,Palazzetto dello Sport,,,altro,44.4549216,10.516228,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.29873_10.23798,palaghiaccio,,,altro,44.2987309,10.2379823,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.07021_7.62624,Piscina Trecate,,,Torino,45.0702099,7.6262385,,,pool,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.51099_10.49692,Palestra comunale,,"Via Caduti della Libertà, 42034",altro,44.5109944,10.4969229,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.58707_10.73182,PalaKeope,,,altro,44.5870654,10.7318191,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.5935_10.70207,Campi Tennis Coperti,,,altro,44.5934956,10.7020708,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.40634_9.86594,Campo Sportivo Comunale via Pistoia,,,altro,45.4063414,9.865944,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.40128_10.61716,Palestra di Cerredolo,,,altro,44.4012843,10.6171609,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.58541_10.6824,palestra Ventoso,,,altro,44.5854071,10.6824034,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.59255_10.69802,Piscine Azzurra,,,altro,44.5925502,10.6980187,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.59537_10.69512,Palestrone Via Longarone,,,altro,44.5953746,10.6951181,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.64306_11.30673,Palalido,,"Via Alessandro Volta, Valdagno",Valdagno,45.6430569,11.3067288,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.62873_10.66705,Circolo Sportivo di Bosco,,Via Goya,altro,44.6287291,10.6670497,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.782_12.85169,Arhena5,,,altro,45.7819997,12.851686,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_41.35485_13.37839,Centro Sportivo New Garden,,,altro,41.3548465,13.378388,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.45676_10.96818,Palestra Torlai,,,altro,44.4567555,10.9681774,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.76461_13.13489,"Palazzetto dello Sport ""Tre Ragazzi""",,,altro,43.764613,13.1348903,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.53052_10.86303,Piscina comunale,,,altro,44.530516,10.8630333,,,pool,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.13677_12.10157,Centro sportivo Comunale,,,altro,44.1367659,12.1015681,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.13845_12.0993,Indiana Park Terme della Fratta,,,altro,44.1384494,12.0992954,,,climbing_gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.13741_12.10086,Piscina comunale Fratta Terme,,,altro,44.1374112,12.1008568,,,pool,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.80644_10.18612,"Area Sportiva ""Il Pioppo""",,,altro,44.8064354,10.1861182,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_40.44249_17.91217,Campo Sportivo Comunale,,,altro,40.4424889,17.9121713,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_40.44694_17.92722,Palestra Scuola Media,,,altro,40.4469392,17.9272213,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.51164_9.20282,Bocciofila e tennis,,,Milano,45.5116424,9.2028241,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.39738_9.90348,Piscina Andreana,,,altro,45.3973816,9.9034785,,,pool,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_41.07417_14.34737,Piscina Provinciale,,,altro,41.0741692,14.3473742,,,pool,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_41.07375_14.34728,Tennis Club Caserta,,,altro,41.0737527,14.3472849,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.58194_9.19809,Centro Sportivo Comunale,,,altro,45.5819415,9.1980938,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_38.20577_15.54889,Cappuccini,,,altro,38.2057716,15.5488853,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_39.68142_9.64533,Kartodromo,,,altro,39.6814189,9.6453298,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.4647_9.38645,Centro Sportivo Settala,,,altro,45.464703,9.3864531,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.46392_8.83506,"Centro Sportivo ""Umberto Re""",,,altro,45.463921,8.83506,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.81306_7.59113,Palestra di arrampicata,,,altro,45.8130625,7.5911349,,,climbing_gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.57796_10.28458,Campo sportivo comunale Angelo e Carlino Faini,,,altro,45.5779636,10.2845785,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.5804_10.28256,Campo Sportivo Comunale Angelo Greotti,,,altro,45.5803976,10.2825598,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.54494_7.00901,Falesia Rocca Gialeo,http://www.caibra.it/immagini/PALESTRA.jpg,,altro,44.5449364,7.0090128,,,climbing_gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_41.78404_12.44258,"Centro Sportivo ""Spinaceto 70""",,,Roma,41.7840444,12.4425775,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_41.78486_12.43169,A.S.D. Albatros Tennis Club,,,Roma,41.7848578,12.4316918,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.03763_9.14341,Gruppo pecore nere,,,altro,45.0376331,9.143407,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.85738_7.85396,Fila Taggese,,,altro,43.8573846,7.8539589,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.71458_10.4195,"Impianti Sportivi ""Gianluca Signorini""",,,altro,43.7145805,10.4195027,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.85757_7.85704,Circolo Ippico San Martino,,,altro,43.8575745,7.8570419,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.85964_7.85626,US Taggese,,,altro,43.8596354,7.8562585,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_41.30999_13.16869,Stadio della Vittoria,,,altro,41.3099889,13.1686865,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.83633_9.40598,Centro Polisportivo Comunale Al Bione,http://www.centrosportivoalbione.it,"Via Bruno Buozzi, 23900, Lecco",Lecco,45.8363349,9.4059805,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.83841_9.40522,Piscina Comunale Bione,,,altro,45.838414,9.4052217,,,pool,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.83869_9.40539,Centro Polisportivo Comunale Al Bione,,,altro,45.838691,9.4053903,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_45.70245_9.56203,Centro Sportivo La Quarenga,,,altro,45.7024514,9.5620279,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_46.05388_12.54711,Maneggio,,,altro,46.0538804,12.5471056,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_44.81278_7.24311,Palestra di Luserna,,,altro,44.812781,7.2431088,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
osm_overpass,osm_43.02544_10.60004,Bocciodromo Comunale,,,altro,43.0254373,10.6000378,,,gym,,gym,False,discovered,2026-06-03T22:00:00Z
