spiagge_venue_id,spiagge_url,slug,sitemap_source,discovered_at
10066,https://www.spiagge.it/stabilimenti-balneari/10066-lido-lo-smeraldo/,lido-lo-smeraldo,stabilimenti_01,2026-06-01T15:18:21Z
10067,https://www.spiagge.it/stabilimenti-balneari/10067-il-pirata/,il-pirata,stabilimenti_01,2026-06-01T15:18:21Z
10068,https://www.spiagge.it/stabilimenti-balneari/10068-bagno-corallo/,bagno-corallo,stabilimenti_01,2026-06-01T15:18:21Z
10069,https://www.spiagge.it/stabilimenti-balneari/10069-lido-jonathan/,lido-jonathan,stabilimenti_03,2026-06-01T15:18:21Z
10070,https://www.spiagge.it/stabilimenti-balneari/10070-lido-le-macchie/,lido-le-macchie,stabilimenti_03,2026-06-01T15:18:21Z
10071,https://www.spiagge.it/stabilimenti-balneari/10071-lido-la-bussola/,lido-la-bussola,stabilimenti_01,2026-06-01T15:18:21Z
10072,https://www.spiagge.it/stabilimenti-balneari/10072-lido-scario/,lido-scario,stabilimenti_03,2026-06-01T15:18:21Z
10073,https://www.spiagge.it/stabilimenti-balneari/10073-soleluna/,soleluna,stabilimenti_03,2026-06-01T15:18:21Z
10074,https://www.spiagge.it/stabilimenti-balneari/10074-bagno-imperiale/,bagno-imperiale,stabilimenti_01,2026-06-01T15:18:21Z
10076,https://www.spiagge.it/stabilimenti-balneari/10076-chalet-duilio/,chalet-duilio,stabilimenti_01,2026-06-01T15:18:21Z
10077,https://www.spiagge.it/stabilimenti-balneari/10077-chalet-marebello/,chalet-marebello,stabilimenti_03,2026-06-01T15:18:21Z
10078,https://www.spiagge.it/stabilimenti-balneari/10078-aloha/,aloha,stabilimenti_01,2026-06-01T15:18:21Z
10086,https://www.spiagge.it/stabilimenti-balneari/10086-lido-buena-vista/,lido-buena-vista,stabilimenti_03,2026-06-01T15:18:21Z
10087,https://www.spiagge.it/stabilimenti-balneari/10087-nemo-beach/,nemo-beach,stabilimenti_01,2026-06-01T15:18:21Z
10089,https://www.spiagge.it/stabilimenti-balneari/10089-eugenia-beach/,eugenia-beach,stabilimenti_03,2026-06-01T15:18:21Z
10090,https://www.spiagge.it/stabilimenti-balneari/10090-bagno-tiki-26/,bagno-tiki-26,stabilimenti_01,2026-06-01T15:18:21Z
10091,https://www.spiagge.it/stabilimenti-balneari/10091-la-playa-de-cococcio/,la-playa-de-cococcio,stabilimenti_01,2026-06-01T15:18:21Z
10092,https://www.spiagge.it/stabilimenti-balneari/10092-bagni-pazzi/,bagni-pazzi,stabilimenti_03,2026-06-01T15:18:21Z
10111,https://www.spiagge.it/stabilimenti-balneari/10111-lido-la-conchiglia/,lido-la-conchiglia,stabilimenti_03,2026-06-01T15:18:21Z
10112,https://www.spiagge.it/stabilimenti-balneari/10112-spiaggia-77/,spiaggia-77,stabilimenti_01,2026-06-01T15:18:21Z
10113,https://www.spiagge.it/stabilimenti-balneari/10113-lido-l-approdo-fiumicello/,lido-l-approdo-fiumicello,stabilimenti_01,2026-06-01T15:18:21Z
10114,https://www.spiagge.it/stabilimenti-balneari/10114-lido-tritone/,lido-tritone,stabilimenti_03,2026-06-01T15:18:21Z
10115,https://www.spiagge.it/stabilimenti-balneari/10115-da-palmerino/,da-palmerino,stabilimenti_01,2026-06-01T15:18:21Z
10116,https://www.spiagge.it/stabilimenti-balneari/10116-sami/,sami,stabilimenti_03,2026-06-01T15:18:21Z
10118,https://www.spiagge.it/stabilimenti-balneari/10118-quasenada-beach/,quasenada-beach,stabilimenti_01,2026-06-01T15:18:21Z
10119,https://www.spiagge.it/stabilimenti-balneari/10119-bagnomaria/,bagnomaria,stabilimenti_01,2026-06-01T15:18:21Z
10120,https://www.spiagge.it/stabilimenti-balneari/10120-bagno-arcobaleno-20/,bagno-arcobaleno-20,stabilimenti_01,2026-06-01T15:18:21Z
10121,https://www.spiagge.it/stabilimenti-balneari/10121-cala-delle-feluche/,cala-delle-feluche,stabilimenti_01,2026-06-01T15:18:21Z
10122,https://www.spiagge.it/stabilimenti-balneari/10122-bagno-corallo/,bagno-corallo,stabilimenti_03,2026-06-01T15:18:21Z
10123,https://www.spiagge.it/stabilimenti-balneari/10123-sea-e-people/,sea-e-people,stabilimenti_01,2026-06-01T15:18:21Z
10124,https://www.spiagge.it/stabilimenti-balneari/10124-bagno-maddalena/,bagno-maddalena,stabilimenti_01,2026-06-01T15:18:21Z
10125,https://www.spiagge.it/stabilimenti-balneari/10125-spiaggia-calypso-relax/,spiaggia-calypso-relax,stabilimenti_03,2026-06-01T15:18:21Z
10127,https://www.spiagge.it/stabilimenti-balneari/10127-paestum-lido/,paestum-lido,stabilimenti_01,2026-06-01T15:18:21Z
10128,https://www.spiagge.it/stabilimenti-balneari/10128-lido-california-paestum/,lido-california-paestum,stabilimenti_01,2026-06-01T15:18:21Z
10131,https://www.spiagge.it/stabilimenti-balneari/10131-bagno-arizona/,bagno-arizona,stabilimenti_01,2026-06-01T15:18:21Z
10132,https://www.spiagge.it/stabilimenti-balneari/10132-bagno-danilo/,bagno-danilo,stabilimenti_01,2026-06-01T15:18:21Z
10133,https://www.spiagge.it/stabilimenti-balneari/10133-la-playa-il-negroncino/,la-playa-il-negroncino,stabilimenti_01,2026-06-01T15:18:21Z
